Datim,Duration,id,State,State_SC,State_TR
2023-01-06 11:00:00,1,66,UP,"",""
2023-01-06 11:00:00,2,1559,UP,"",""
2023-01-06 11:00:00,3,585,UP,"",""
2023-01-06 11:03:14,2.8422222222222224,2174,UP,"",""
2023-01-06 11:30:00,3.5,623,UP,"",""
2023-01-06 11:50:29,0.4083333333333333,1803,UP,"",""
2023-01-06 12:00:00,1,369,UP,"",""
2023-01-06 12:00:00,2,843,UP,"",""
2023-01-06 12:00:00,2,1204,UP,"",""
2023-01-06 12:00:00,6.5,2227,UP,"",""
2023-01-06 12:30:00,1.5,1526,UP,"",""
2023-01-06 12:59:23,0.0038888888888888888,856,UP,"",""
2023-01-06 13:00:00,1,65,UP,"",""
2023-01-06 13:00:00,2,285,UP,"",""
2023-01-06 13:00:00,2,400,UP,"",""
2023-01-06 13:00:00,2,1220,UP,"",""
2023-01-06 13:00:00,2,2256,UP,"",""
2023-01-06 13:00:00,2,2365,UP,DOWN,UP
2023-01-06 13:00:00,2.5,1567,UP,"",""
2023-01-06 13:30:00,2,2315,UP,"",""
2023-01-06 13:30:00,2.5,419,UP,"",""
2023-01-06 14:00:00,1,219,UP,"",""
2023-01-06 14:00:00,1,1845,UP,"",""
2023-01-06 14:00:00,1,2097,UP,"",""
2023-01-06 14:00:00,1,2644,UP,UP,UP
2023-01-06 14:00:00,2,838,UP,"",""
2023-01-06 14:00:00,2,2078,UP,"",""
2023-01-06 14:00:00,8,1671,DOWN,"",""
2023-01-06 14:00:00,8,1676,UP,"",""
2023-01-06 14:15:53,1.7352777777777777,212,UP,"",""
2023-01-06 14:16:42,3.6080555555555556,1009,UP,"",""
2023-01-06 14:30:00,1,1541,UP,"",""
2023-01-06 14:36:19,1.1477777777777778,1518,UP,"",""
2023-01-06 14:45:08,,532,UP,"",""
2023-01-06 15:00:00,0.5,1906,UP,"",""
2023-01-06 15:00:00,0.5,2522,UP,UP,UP
2023-01-06 15:00:00,1,61,UP,"",""
2023-01-06 15:00:00,1,1329,UP,"",""
2023-01-06 15:00:00,1.5,618,UP,"",""
2023-01-06 15:00:00,1.5,1073,UP,"",""
2023-01-06 15:00:00,1.5,2392,UP,DOWN,UP
2023-01-06 15:00:00,3.5,2079,UP,"",""
2023-01-06 15:04:00,2.548611111111111,2180,UP,"",""
2023-01-06 15:30:00,1,1445,UP,"",""
2023-01-06 15:30:00,1.5,281,UP,"",""
2023-01-06 15:30:00,1.5,1358,UP,"",""
2023-01-06 15:30:00,1.5,1428,UP,"",""
2023-01-06 15:30:00,1.5,1560,UP,"",""
2023-01-06 15:59:12,2.013333333333333,932,UP,"",""
2023-01-06 16:00:00,1.5,394,UP,"",""
