Begin,Cluster,Description,End,Fab300_Duration,Fab300_User_id,FACILITY,IIO_Duration,IIO_User_id,Modules,Tool,WBS
2023-01-03 16:30:00,,ASML private,2023-01-03 17:00:00,,"",PLINE300,0.5,aubert85,"",SC3400,31199/01571
2023-01-03 16:30:00,,ASML private,2023-01-03 17:00:00,,"",PLINE300,0.5,aubert85,"",TR3400,31199/01571
2023-01-03 17:00:00,,DEVINPs,2023-01-03 18:30:00,,"",PLINE300,1.5,janard53,"",PROVISION2E,38199/01952
2023-01-03 17:00:00,,FEM,2023-01-03 17:30:00,,"",PLINE300,0.5,dauend87,"",SC3400,98601/00962
2023-01-03 17:00:00,,FEM,2023-01-03 17:30:00,,"",PLINE300,0.5,dauend87,"",TR3400,98601/00962
2023-01-03 17:00:00,,Imaging electrodeposited layers,2023-01-03 18:30:00,,"",PLINE300,1.5,aarts61,"",NOVA200_2,97406/01185
2023-01-03 17:30:00,,ATR-FTIR with liquid cell,2023-01-03 18:00:00,,"",PLINE300,0.5,wu78,"",FTIR_2,32005/00330
2023-01-03 18:00:00,,DEVINP,2023-01-03 20:00:00,,"",PLINE300,2,debacker,"",HITACHI5000,31199/00653
2023-01-03 18:00:00,,measure lot,2023-01-03 19:00:00,,"",PLINE300,1,schaap,"",SC2000,31199/31811
2023-01-03 18:30:00,,i,2023-01-03 20:00:00,,"",PLINE300,1.5,redants,"",SEMVISION,44999/01997
2023-01-03 18:44:04,,"",2023-01-03 21:14:38,2.5094444444444446,vrebos45,PLINE300,,"","",VERIOS,39320/36502
2023-01-03 18:57:32,,"",2023-01-03 21:22:00,2.4077777777777776,derudd92,PLINE300,,"","",HELIOS1200,39320/36502
2023-01-03 19:00:00,,Use,2023-01-04 09:00:00,,"",PLINE300,14,zidan45,"",H6300,31199/01988
2023-01-03 19:25:06,,"",2023-01-03 20:08:01,0.7152777777777778,aarts61,PLINE300,,"","",NOVA200_2,97406/01185
2023-01-03 21:56:08,,"",2023-01-04 01:49:38,3.8916666666666666,vdstaey,PLINE300,,"","",VERIOS,39320/36502
2023-01-03 22:00:00,,MAZO process development,2023-01-04 10:00:00,,"",PLINE300,12,pavel13,LP1;PM2;PM3;PM1,XP4_4,31499/01284
2023-01-03 22:08:36,,"",2023-01-04 01:37:33,3.4825,konecn85,PLINE300,,"","",HELIOS1200,97700/01368
2023-01-03 22:31:38,,"",2023-01-03 23:23:11,0.8591666666666666,michal78,PLINE300,,"","",SEMVISION,39320/36502
2023-01-03 22:34:11,,"",2023-01-04 01:54:53,3.345,gade18,PLINE300,,"","",HELIOS1200_2,39320/36502
2023-01-03 23:23:24,,"",2023-01-04 03:01:21,3.6325,michal78,PLINE300,,"","",SEMVISION,39320/36502
2023-01-04 02:07:41,,"",2023-01-04 06:00:38,3.8825,vdstaey,PLINE300,,"","",HELIOS1200,39320/36502
2023-01-04 02:41:10,,"",2023-01-04 05:50:47,3.160277777777778,konecn85,PLINE300,,"","",VERIOS,31499/00379
2023-01-04 03:01:38,,"",2023-01-04 03:30:22,0.47888888888888886,michal78,PLINE300,,"","",SEMVISION,39320/36502
2023-01-04 04:00:00,,FAB XSEM support,2023-01-04 10:00:00,,"",PLINE300,6,caluwaer,"",SU8000,42199/00160
2023-01-04 04:14:00,,"",2023-01-04 06:23:06,2.151666666666667,michal78,PLINE300,,"","",HELIOS1200_2,39320/36502
2023-01-04 06:00:00,,i,2023-01-04 08:00:00,,"",PLINE300,2,engelen,"",SEMVISION,31029/01811
2023-01-04 06:19:56,,"",2023-01-04 07:53:09,1.553611111111111,sterke41,PLINE300,,"","",HELIOS1200,39320/36502
2023-01-04 06:25:38,,"",2023-01-04 13:34:26,7.1466666666666665,dutrow20,PLINE300,,"","",VERIOS,39320/36502
2023-01-04 06:27:39,,"",2023-01-04 09:37:17,3.1605555555555553,decler36,PLINE300,,"","",HELIOS1200_2,39320/36502
2023-01-04 07:00:00,,pwec,2023-01-04 10:00:00,,"",PLINE300,3,baudem,"",HITACHI5000,31199/01920
2023-01-04 07:20:47,0,test strip rate with cool down,2023-01-04 08:30:00,0.6080555555555556,nedelj21,PLINE200,1,nedelj21,PM2;PM3,SPTS_OMEGA,36004/01224
2023-01-04 07:55:36,0,i,2023-01-04 10:00:00,2.0244444444444443,dangol,PLINE300,2,dangol,"",HELIOS1200,37092/02172
2023-01-04 08:00:00,,scrjdp,2023-01-04 09:00:00,,"",PLINE300,1,vanderey,"",KLA2925,31199/31191
2023-01-04 08:00:00,,TEM,2023-01-04 16:00:00,,"",PLINE300,8,faviap,"",TITAN,42199/00160
2023-01-04 08:00:00,,test,2023-01-04 10:00:00,,"",PLINE300,2,dilien72,"",TR3300,31199/30079
