DEL_FLAG,FACILITY,ENT_NAME,ROW_ID,CSIM_TIMESTAMP,Area
N,PLINE200,CIPT,8288,2/3/2023 20:54,Area/ILIME/Metrology/Inspections
N,PLINE300,YS375,18998,2/3/2023 21:04,Area/ILIME/Metrology/Inspections
N,PLINE200,MICROS_UCR,3880,2/3/2023 21:28,Area/ILIME/Metrology/Inspections
N,PLINE300,GS1000,22434,2/3/2023 23:01,Area/ILIME/Metrology/Inspections
N,PLINE300,STOCKER_3,5141,2/4/2023 2:07,Area/ISE/Stocker/Stocker
N,PLINE300,STOCKER_2,3261,2/4/2023 2:15,Area/ISE/Stocker/Stocker
N,PLINE300,GAN_G5,21729,2/4/2023 6:44,Area/DDEPI/Deposition/EPI
N,PLINE200,RENA_CLEAN,7771,2/4/2023 6:58,Area/WMCE/Clean/Clean
N,PLINE200,EDGE_TRIM,8598,2/4/2023 7:47,Area/WBA/Assembly/Dicing
N,PLINE200,LASERDEBOND,21486,2/4/2023 7:47,Area/WBA/Assembly/Bonding
N,PLINE200,QC3,6348,2/4/2023 7:47,Area/ILIME/Metrology/XRRD
N,PLINE200,SPTS_OMEGA,8907,2/4/2023 7:47,Area/ISE/Etch/CombinedEtch
N,PLINE200,WETBENCH_2,5163,2/4/2023 7:47,Area/WMCE/Clean/Etch
N,PLINE200,WYCO,19408,2/4/2023 7:47,Area/ILIME/Metrology/Profilometry
N,PLINE300,2830ZT,23988,2/4/2023 7:47,Area/ILIME/Metrology/Txrf
N,PLINE300,ZETA,25351,2/4/2023 7:48,Area/ILIME/Metrology/Profilometry
N,PLINE200,AP300,5635,2/4/2023 10:31,Area/Litho/Exposure/Scanner
N,PLINE300,SYSTEMIII,16686,2/4/2023 10:58,Area/META/AMSI/MetrologyAMSI
N,PLINE200,NOVA200,3884,2/4/2023 12:10,Area/ELMIC/Metrology/Inspections
N,PLINE200,AUTOPROBER_2,10097,2/4/2023 12:47,Area/META/AMSI/AutoProbers
N,PLINE200,DEBOND_CLEANER,7469,2/4/2023 12:47,Area/WBA/Assembly/Bonding
N,PLINE300,HRP340_2,2020,2/4/2023 12:47,Area/ILIME/Metrology/Profilometry
N,PLINE300,KLA2925,12955,2/4/2023 12:47,Area/ILIME/Metrology/Inspections
N,PLINE300,PATERNOSTER,5510,2/4/2023 12:47,Area/ISE/Stocker/Stocker
N,PLINE300,TRMTM,6346,2/4/2023 12:48,Area/Litho/Exposure/Track
N,PLINE300,XP4_4,20945,2/4/2023 12:48,Area/DDALD/Deposition/ALD
N,PLINE200,MIRRA_3,7518,2/4/2023 13:08,Area/WMCE/Cmp/Cmp
N,PLINE200,MICROS_OUT,13586,2/4/2023 13:23,Area/ILIME/Metrology/Inspections
N,PLINE300,ARCHER700,20549,2/4/2023 17:03,Area/ILIME/Metrology/Inspections
N,PLINE200,MIRRA_OX,5127,2/4/2023 17:07,Area/WMCE/Cmp/Cmp
N,PLINE200,CHRONOS_SRD,6858,2/4/2023 17:23,Area/WMCE/Clean/Etch
N,PLINE200,UVO,23227,2/4/2023 18:35,Area/WBA/Assembly/Dicing
N,PLINE300,ALTUS,22439,2/4/2023 20:17,Area/DDCVD/Deposition/CVD
N,PLINE200,P5_CF,3938,2/4/2023 20:27,Area/DDDIFFUSION/Anneal/AnnealOven
N,PLINE300,TR2000,10648,2/4/2023 21:45,Area/Litho/Exposure/Track
N,PLINE200,P6_CURE,3939,2/4/2023 22:01,Area/DDDIFFUSION/Anneal/AnnealOven
N,PLINE200,ACT12_MTM,5463,2/4/2023 22:12,Area/Litho/Exposure/Track
