fo_row_id,Datim,EVENT_ROW_ID,State
3996,09/01/2022 11:10,929477272,OCAP
10907,09/01/2022 11:11,929477457,RESERVED
2077,09/01/2022 11:12,929477585,UP
2077,09/01/2022 11:12,929477587,SPC_TEST
2079,09/01/2022 11:13,929477665,UP
2077,09/01/2022 11:13,929477667,UP
4194,09/01/2022 11:15,929478310,SPC_TEST
4199,09/01/2022 11:15,929478313,SPC_TEST
4200,09/01/2022 11:15,929478315,SPC_TEST
3947,09/01/2022 11:15,929478319,SPC_TEST
7389,09/01/2022 11:16,929478469,UP
7380,09/01/2022 11:16,929478485,PARTLY_UP
23652,09/01/2022 11:16,929478494,UP
8487,09/01/2022 11:17,929478808,PARTLY_UP
1072,09/01/2022 11:19,929479116,IDLE_ERROR
4200,09/01/2022 11:19,929479127,UP
4199,09/01/2022 11:19,929479167,UP
4194,09/01/2022 11:19,929479178,UP
11177,09/01/2022 11:19,929479180,UP
3947,09/01/2022 11:19,929479182,UP
11166,09/01/2022 11:19,929479189,UP
11164,09/01/2022 11:19,929479194,UP
11163,09/01/2022 11:19,929479198,UP
11160,09/01/2022 11:19,929479203,UP
11168,09/01/2022 11:19,929479207,UP
11169,09/01/2022 11:19,929479215,UP
11165,09/01/2022 11:19,929479222,UP
12114,09/01/2022 11:20,929479652,RESERVED
12118,09/01/2022 11:20,929479658,RESERVED
4194,09/01/2022 11:22,929480067,IN_MAINT
3947,09/01/2022 11:22,929480071,IN_MAINT
6665,09/01/2022 11:22,929480168,UP
6664,09/01/2022 11:22,929480208,UP
4194,09/01/2022 11:22,929480271,SPC_TEST
3947,09/01/2022 11:22,929480274,SPC_TEST
20975,09/01/2022 11:26,929481440,UP
20972,09/01/2022 11:26,929481444,UP
20976,09/01/2022 11:26,929481474,UP
20977,09/01/2022 11:26,929481499,UP
20978,09/01/2022 11:26,929481504,UP
3994,09/01/2022 11:31,929483303,UP
3824,09/01/2022 11:31,929483305,UP
1072,09/01/2022 11:35,929485408,IN_REPAIR
3995,09/01/2022 11:38,929486362,UP
1413,09/01/2022 11:41,929487178,UP
1413,09/01/2022 11:41,929487191,PARTLY_UP
1254,09/01/2022 11:48,929488805,UP
1056,09/01/2022 11:48,929488807,IDLE_ERROR
7674,09/01/2022 11:50,929489149,UP
4926,09/01/2022 11:51,929489190,RESERVED
14555,09/01/2022 11:54,929490231,IN_REPAIR
14555,09/01/2022 11:54,929490287,UP
12107,09/01/2022 11:54,929490501,IDLE_ERROR
3981,09/01/2022 12:00,929491593,SPC_TEST
3822,09/01/2022 12:00,929491595,SPC_TEST
12695,09/01/2022 12:02,929492016,UP
8074,09/01/2022 12:02,929492060,RESERVED
20556,09/01/2022 12:03,929492485,RESERVED
9466,09/01/2022 12:05,929492864,IN_MAINT
3997,09/01/2022 12:06,929493017,UP
3996,09/01/2022 12:06,929493047,UP
5463,09/01/2022 12:08,929493168,PARTLY_UP
13695,09/01/2022 12:10,929493670,SPC_TEST
4049,09/01/2022 12:15,929495372,UP
4049,09/01/2022 12:16,929495549,SPC_TEST
4049,09/01/2022 12:16,929495632,UP
19203,09/01/2022 12:17,929495860,RESERVED
19209,09/01/2022 12:17,929495864,RESERVED
19208,09/01/2022 12:17,929495869,RESERVED
12107,09/01/2022 12:17,929496159,IN_REPAIR
12107,09/01/2022 12:18,929496313,PARTLY_UP
21906,09/01/2022 12:20,929496620,UP
9588,09/01/2022 12:20,929496622,UP
20894,09/01/2022 12:27,929497384,RESERVED
