Cluster,Description,Fab300_Begin,Fab300_End,Fab300_Res_id,Fab300_User_id,FACILITY,IIO_Begin,IIO_End,IIO_Res_id,IIO_User_id,Modules,Tool,WBS
0,Cu CMP using CSL P1 LK393 P3,2022-11-14 14:03:15,2022-11-14 20:38:00,4,ceulem72,PLINE300,2022-11-14 13:00:00,2022-11-14 17:00:00,1290,ceulem72,LP1;LP2;H1;H2;H3;H4;PM2;PM3;PM1,REFLEXION_2,37093/02175
0,"Cu CMP, EP monitoring, spc must",2022-11-04 13:36:25,2022-11-04 22:03:01,3,ceulem72,PLINE300,2022-11-04 13:00:00,2022-11-04 20:00:00,1289,ceulem72,LP1;LP2;H1;H2;H3;H4;PM2;PM3;PM1,REFLEXION_2,32102/01048
0,DEMO related,2022-11-15 12:01:51,2022-11-15 15:03:04,56,homkar65,PLINE300,2022-11-15 12:00:00,2022-11-15 16:00:00,1320,homkar65,LP2;PM2;PM1,LEVITOR4300,30990/32063
0,Determining polishing times  per,2022-11-17 08:47:13,2022-11-17 16:28:11,62,kenens78,PLINE300,2022-11-17 09:00:00,2022-11-17 16:30:00,1280,kenens78,LP1;LP2;CLN,REFLEXION_4,98850/02081
0,dev,2022-11-03 11:12:45,2022-11-03 13:06:33,155,hendri21,PLINE200,2022-11-03 11:00:00,2022-11-03 12:30:00,971,hendri21,"",NOVA200,97406/01185
0,development,2022-10-31 09:53:30,2022-10-31 10:54:21,455,puliya38,PLINE300,2022-10-31 10:00:00,2022-10-31 11:00:00,1207,puliya38,LP1;PM1,TEL_TACTRAS2,37093/02175
0,development,2022-11-08 11:17:51,2022-11-08 12:20:04,459,puliya38,PLINE300,2022-11-08 11:30:00,2022-11-08 12:30:00,1354,puliya38,LP2;PM1,TEL_TACTRAS2,37093/02178
0,development,2022-11-16 11:45:39,2022-11-16 12:17:35,484,puliya38,PLINE300,2022-11-16 11:30:00,2022-11-16 12:30:00,1204,puliya38,LP1;PM3,LAM_E6,38199/02252
0,Development NbTiN at 420C,2022-11-15 08:54:21,2022-11-15 14:19:13,304,soulie26,PLINE300,2022-11-15 09:00:00,2022-11-15 10:00:00,1286,soulie26,LP1;CH1_MC;CHE,ENDURA_5,31399/00039
0,Development of NbTiN at 420oC,2022-10-31 09:08:56,2022-10-31 16:53:54,306,soulie26,PLINE300,2022-10-31 10:00:00,2022-10-31 17:00:00,1168,soulie26,LP1;CH1_MC;CHE,ENDURA_5,43900/02205
0,devinp,2022-10-31 09:01:22,2022-10-31 10:00:56,324,stiersk,PLINE300,2022-10-31 09:00:00,2022-10-31 10:00:00,258,stiersk,"",HRP340_2,36003/36503
