,Facility,Tool,Datim,State,State_SC,State_TR,id,Duration,BeginEndFlag
2004,PLINE300,NOVA200_2,2023-01-23 15:49:00,UP,,,2004.0,0.0,Begin
254,PLINE300,NOVA200_2,2023-01-24 09:58:00,UP,,,254.0,1.05,Begin
1597,PLINE300,NOVA200_2,2023-01-24 12:30:00,UP,,,1597.0,1.5,Begin
1586,PLINE300,NOVA200_2,2023-01-24 14:00:00,UP,,,1586.0,1.5,Begin
427,PLINE300,TXRF300,2023-01-14 10:00:00,UP,,,427.0,2.433333333333333,Begin
1719,PLINE300,SEMVISION,2023-01-02 06:00:00,,,,1719.0,2.0,Begin
1679,PLINE300,SEMVISION,2023-01-02 11:00:00,,,,1679.0,1.0,Begin
1720,PLINE300,SEMVISION,2023-01-02 14:00:00,,,,1720.0,1.0,Begin
1721,PLINE300,SEMVISION,2023-01-02 18:30:00,UP,,,1721.0,1.5,Begin
1722,PLINE300,SEMVISION,2023-01-03 06:00:00,UP,,,1722.0,2.0,Begin
1680,PLINE300,SEMVISION,2023-01-03 08:00:00,UP,,,1680.0,2.0,Begin
2005,PLINE300,SEMVISION,2023-01-03 11:27:00,UP,,,2005.0,1.6166666666666667,Begin
362,PLINE300,SEMVISION,2023-01-03 14:00:00,UP,,,362.0,1.0,Begin
1681,PLINE300,SEMVISION,2023-01-03 15:00:00,UP,,,1681.0,2.0,Begin
1723,PLINE300,SEMVISION,2023-01-03 18:30:00,UP,,,1723.0,1.5,Begin
2006,PLINE300,SEMVISION,2023-01-03 22:31:00,UP,,,2006.0,0.8666666666666667,Begin
455,PLINE300,SEMVISION,2023-01-03 22:48:00,DOWN,,,2006.0,0.8666666666666667,Begin
456,PLINE300,SEMVISION,2023-01-03 23:22:00,UP,,,2006.0,0.8666666666666667,Begin
2007,PLINE300,SEMVISION,2023-01-03 23:23:00,UP,,,2007.0,3.6333333333333333,Begin
2008,PLINE300,SEMVISION,2023-01-04 03:01:00,UP,,,2008.0,0.48333333333333334,Begin
1672,PLINE300,SEMVISION,2023-01-04 06:00:00,UP,,,1672.0,2.0,Begin
