EVENT_ROW_ID,Datim,State_SC,ToolName,State_TR,State,FACILITY,LithoCluster
945066913,10/29/2022 7:57,RESERVED,SC1000,PARTLY_UP,DOWN,PLINE300,1000
945082405,10/29/2022 9:40,UP,SC1000,PARTLY_UP,DOWN,PLINE300,1000
945161080,10/29/2022 19:02,DOWN_TEST,SC1000,PARTLY_UP,DOWN,PLINE300,1000
945181902,10/29/2022 22:19,UP,SC1000,PARTLY_UP,DOWN,PLINE300,1000
945225507,10/30/2022 8:07,RESERVED,SC1000,PARTLY_UP,DOWN,PLINE300,1000
945239452,10/30/2022 9:54,UP,SC1000,PARTLY_UP,DOWN,PLINE300,1000
945332336,10/30/2022 19:30,DOWN_TEST,SC1000,PARTLY_UP,DOWN,PLINE300,1000
945345227,10/30/2022 22:34,UP,SC1000,PARTLY_UP,DOWN,PLINE300,1000
945515577,10/31/2022 16:48,RESERVED,SC1000,PARTLY_UP,DOWN,PLINE300,1000
945515609,10/31/2022 16:49,RESERVED,TR1000,RESERVED,DOWN,PLINE300,1000
945540613,10/31/2022 18:03,UP,SC1000,RESERVED,DOWN,PLINE300,1000
945540628,10/31/2022 18:03,UP,TR1000,PARTLY_UP,DOWN,PLINE300,1000
945627780,11/1/2022 0:00,DOWN_TEST,SC1000,PARTLY_UP,DOWN,PLINE300,1000
945632270,11/1/2022 1:12,UP,SC1000,PARTLY_UP,DOWN,PLINE300,1000
945638883,11/1/2022 1:52,UP,TR1000,DOWN_TEST,DOWN,PLINE300,1000
945643029,11/1/2022 2:21,UP,TR1000,PARTLY_UP,DOWN,PLINE300,1000
945662499,11/1/2022 10:14,RESERVED,SC1000,PARTLY_UP,DOWN,PLINE300,1000
945664324,11/1/2022 12:01,UP,SC1000,PARTLY_UP,DOWN,PLINE300,1000
945750842,11/2/2022 6:28,UP,TR1000,DOWN_TEST,DOWN,PLINE300,1000
945764909,11/2/2022 7:58,UP,TR1000,RESERVED,DOWN,PLINE300,1000
945764921,11/2/2022 7:58,RESERVED,SC1000,RESERVED,DOWN,PLINE300,1000
945784497,11/2/2022 9:54,UP,SC1000,RESERVED,DOWN,PLINE300,1000
945787853,11/2/2022 10:07,UP,TR1000,PARTLY_UP,DOWN,PLINE300,1000
945793314,11/2/2022 10:22,UP,TR1000,UP,UP,PLINE300,1000
945874745,11/2/2022 15:00,UP,TR1000,DOWN_TEST,DOWN,PLINE300,1000
945932507,11/2/2022 18:07,UP,TR1000,UP,UP,PLINE300,1000
945997579,11/3/2022 0:22,RESERVED,SC1000,UP,DOWN,PLINE300,1000
946006937,11/3/2022 2:02,UP,SC1000,UP,UP,PLINE300,1000
946037527,11/3/2022 5:34,DOWN_TEST,SC1000,UP,DOWN,PLINE300,1000
946043738,11/3/2022 6:04,UP,SC1000,UP,UP,PLINE300,1000
946059834,11/3/2022 8:02,UP,TR1000,RESERVED,DOWN,PLINE300,1000
946060023,11/3/2022 8:04,RESERVED,SC1000,RESERVED,DOWN,PLINE300,1000
946083073,11/3/2022 9:49,UP,SC1000,RESERVED,DOWN,PLINE300,1000
946083283,11/3/2022 9:49,UP,TR1000,UP,UP,PLINE300,1000
946378483,11/4/2022 8:14,UP,TR1000,RESERVED,DOWN,PLINE300,1000
946378500,11/4/2022 8:14,RESERVED,SC1000,RESERVED,DOWN,PLINE300,1000
946395185,11/4/2022 9:54,RESERVED,TR1000,UP,DOWN,PLINE300,1000
946395224,11/4/2022 9:54,UP,SC1000,UP,UP,PLINE300,1000
946601695,11/5/2022 0:00,DOWN_TEST,SC1000,UP,DOWN,PLINE300,1000
946607652,11/5/2022 0:26,DOWN_TEST,TR1000,PARTLY_UP,DOWN,PLINE300,1000
946649792,11/5/2022 7:34,UP,SC1000,PARTLY_UP,DOWN,PLINE300,1000
946837884,11/6/2022 8:55,RESERVED,SC1000,PARTLY_UP,DOWN,PLINE300,1000
946849880,11/6/2022 10:57,UP,SC1000,PARTLY_UP,DOWN,PLINE300,1000
946864047,11/6/2022 13:00,UP,TR1000,RESERVED,DOWN,PLINE300,1000
946870857,11/6/2022 14:33,UP,TR1000,PARTLY_UP,DOWN,PLINE300,1000
946947374,11/7/2022 0:00,DOWN_TEST,SC1000,PARTLY_UP,DOWN,PLINE300,1000
946985701,11/7/2022 8:21,RESERVED,SC1000,PARTLY_UP,DOWN,PLINE300,1000
946985706,11/7/2022 8:21,RESERVED,TR1000,RESERVED,DOWN,PLINE300,1000
947002936,11/7/2022 10:08,PARTLY_UP,SC1000,RESERVED,DOWN,PLINE300,1000
947003170,11/7/2022 10:08,PARTLY_UP,TR1000,UP,DOWN,PLINE300,1000
947039936,11/7/2022 13:00,PARTLY_UP,TR1000,IN_MAINT,DOWN,PLINE300,1000
947060445,11/7/2022 14:15,PARTLY_UP,TR1000,UP,DOWN,PLINE300,1000
947205592,11/7/2022 23:21,DOWN_TEST,SC1000,UP,DOWN,PLINE300,1000
947222450,11/8/2022 1:55,UP,SC1000,UP,UP,PLINE300,1000
947272512,11/8/2022 8:11,UP,TR1000,RESERVED,DOWN,PLINE300,1000
947272558,11/8/2022 8:12,RESERVED,SC1000,RESERVED,DOWN,PLINE300,1000
947274094,11/8/2022 8:28,UP,SC1000,RESERVED,DOWN,PLINE300,1000
947274099,11/8/2022 8:29,UP,TR1000,UP,UP,PLINE300,1000
947511613,11/9/2022 0:00,DOWN_TEST,SC1000,UP,DOWN,PLINE300,1000
947512434,11/9/2022 0:11,UP,SC1000,UP,UP,PLINE300,1000
947546694,11/9/2022 5:45,UP,TR1000,IN_MAINT,DOWN,PLINE300,1000
947574594,11/9/2022 8:13,RESERVED,SC1000,IN_MAINT,DOWN,PLINE300,1000
947580191,11/9/2022 8:41,RESERVED,TR1000,PARTLY_UP,DOWN,PLINE300,1000
947584930,11/9/2022 9:00,RESERVED,TR1000,DOWN_TEST,DOWN,PLINE300,1000
947637453,11/9/2022 11:51,UP,SC1000,DOWN_TEST,DOWN,PLINE300,1000
947721504,11/9/2022 16:51,RESERVED,SC1000,DOWN_TEST,DOWN,PLINE300,1000
947757397,11/9/2022 18:28,UP,SC1000,DOWN_TEST,DOWN,PLINE300,1000
947799106,11/9/2022 22:59,UP,TR1000,PARTLY_UP,DOWN,PLINE300,1000
947841402,11/10/2022 5:02,UP,TR1000,DOWN_TEST,DOWN,PLINE300,1000
947862469,11/10/2022 7:46,UP,TR1000,UP,UP,PLINE300,1000
947864881,11/10/2022 7:58,UP,TR1000,RESERVED,DOWN,PLINE300,1000
947864902,11/10/2022 7:58,RESERVED,SC1000,RESERVED,DOWN,PLINE300,1000
947891853,11/10/2022 10:25,UP,SC1000,RESERVED,DOWN,PLINE300,1000
947892345,11/10/2022 10:27,UP,TR1000,PARTLY_UP,DOWN,PLINE300,1000
948004698,11/10/2022 17:01,RESERVED,SC1000,PARTLY_UP,DOWN,PLINE300,1000
948004720,11/10/2022 17:01,RESERVED,TR1000,RESERVED,DOWN,PLINE300,1000
948043270,11/10/2022 18:40,UP,SC1000,RESERVED,DOWN,PLINE300,1000
948043486,11/10/2022 18:40,UP,TR1000,PARTLY_UP,DOWN,PLINE300,1000
948084140,11/10/2022 22:39,DOWN_TEST,SC1000,PARTLY_UP,DOWN,PLINE300,1000
948090498,11/10/2022 23:07,UP,SC1000,PARTLY_UP,DOWN,PLINE300,1000
948203273,11/13/2022 0:00,DOWN_TEST,SC1000,PARTLY_UP,DOWN,PLINE300,1000
948233590,11/14/2022 6:36,PARTLY_UP,SC1000,PARTLY_UP,DOWN,PLINE300,1000
948268584,11/14/2022 8:58,PARTLY_UP,TR1000,RESERVED,DOWN,PLINE300,1000
948268593,11/14/2022 8:58,RESERVED,SC1000,RESERVED,DOWN,PLINE300,1000
948286612,11/14/2022 9:53,PARTLY_UP,SC1000,RESERVED,DOWN,PLINE300,1000
948286637,11/14/2022 9:53,PARTLY_UP,TR1000,PARTLY_UP,DOWN,PLINE300,1000
948520647,11/15/2022 0:00,DOWN_TEST,SC1000,PARTLY_UP,DOWN,PLINE300,1000
948559996,11/15/2022 5:28,UP,SC1000,PARTLY_UP,DOWN,PLINE300,1000
948580697,11/15/2022 7:30,RESERVED,SC1000,PARTLY_UP,DOWN,PLINE300,1000
948580773,11/15/2022 7:30,RESERVED,TR1000,RESERVED,DOWN,PLINE300,1000
948634342,11/15/2022 11:12,RESERVED,TR1000,PARTLY_UP,DOWN,PLINE300,1000
948634542,11/15/2022 11:13,UP,SC1000,PARTLY_UP,DOWN,PLINE300,1000
